suite	exit	ok	fail	secs	status
version_test.sh	0	13	0	2	GREEN
cli_test.sh	0	315	0	1	GREEN
status_truth_test.sh	0	162	0	2	GREEN
install_docs_test.sh	0	38	0	0	GREEN
docs_truth_test.sh	0	42	0	1	GREEN
exit_path_test.sh	0	22	0	1	GREEN
audit_test.sh	0	34	0	1	GREEN
ledger_day_test.sh	0	12	0	1	GREEN
ledger_utf8_test.sh	0	3	0	0	GREEN
baseline_test.sh	0	74	0	2	GREEN
moves_test.sh	0	22	0	6	GREEN
signals_test.sh	0	39	0	8	GREEN
mirror_push_test.sh	0	3	0	1	GREEN
push_refspec_test.sh	0	13	0	4	GREEN
push_config_file_test.sh	0	-	-	5	GREEN
push_delete_test.sh	0	64	0	1	GREEN
lease_force_test.sh	0	146	0	4	GREEN
glob_escape_test.sh	0	35	0	0	GREEN
temp_root_glob_test.sh	0	71	0	2	GREEN
path_answer_test.sh	0	-	-	2	GREEN
guard_lint_test.sh	0	20	0	0	GREEN
guard_reach_test.sh	0	-	-	0	GREEN
guard_allow_twin_test.sh	0	4	0	0	GREEN
guard_deny_twin_test.sh	0	9	0	0	GREEN
heredoc_reach_test.sh	0	11	0	0	GREEN
truth_level_order_test.sh	0	5	0	0	GREEN
cmdtext_test.sh	0	-	-	3	GREEN
heredoc_prose_test.sh	0	-	-	0	GREEN
git_alias_test.sh	0	3	0	3	GREEN
short_cluster_test.sh	0	5	0	3	GREEN
long_option_prefix_test.sh	0	36	0	4	GREEN
bypass_test.sh	0	22	0	1	GREEN
assign_prefix_test.sh	0	41	0	1	GREEN
reserved_word_test.sh	0	55	0	0	GREEN
unknown_wrapper_test.sh	0	61	0	2	GREEN
shell_function_test.sh	0	-	-	3	GREEN
loop_body_test.sh	0	57	0	1	GREEN
script_wrapper_test.sh	0	52	0	1	GREEN
wrapper_exec_test.sh	0	57	0	1	GREEN
arch_wrapper_test.sh	0	5	0	4	GREEN
head_ref_test.sh	0	106	0	2	GREEN
git_verbs_test.sh	0	-	-	1	GREEN
promise_law_test.sh	0	-	-	1	GREEN
delete_verbs_test.sh	0	-	-	1	GREEN
shell_cwd_test.sh	0	-	-	0	GREEN
partial_ref_test.sh	0	80	0	2	GREEN
other_repo_test.sh	0	90	0	2	GREEN
xcrun_wrapper_test.sh	0	77	0	2	GREEN
npm_install_test.sh	0	12	0	564	GREEN
doctor_test.sh	0	43	0	1	GREEN
repair_session_test.sh	0	33	0	22	GREEN
repair_isolation_test.sh	0	12	0	1	GREEN
harness_lock_test.sh	0	-	-	2	GREEN
heldout_test.sh	0	-	-	0	GREEN
lock_coverage_test.sh	0	-	-	0	GREEN
false_reject_test.sh	0	-	-	26	GREEN
discovery_test.sh	0	-	-	0	GREEN
discovery_language_test.sh	0	21	0	0	GREEN
sandbox_test.sh	1	8	1	0	RED
export_test.sh	0	26	0	3	GREEN
export_drop_test.sh	0	6	0	0	GREEN
gate_promise_test.sh	0	10	0	0	GREEN
blind_switch_test.sh	0	7	0	0	GREEN
lamp_test.sh	0	8	0	0	GREEN
watch_test.sh	0	14	0	0	GREEN
serve_test.sh	0	16	0	0	GREEN
sigpipe_test.sh	0	3	0	1	GREEN
session_test.sh	0	15	0	10	GREEN
session_fanout_test.sh	0	13	0	1	GREEN
budget_test.sh	0	11	0	0	GREEN
postuse_test.sh	0	88	0	5	GREEN
agents_test.sh	0	18	0	0	GREEN
run_test.sh	0	9	0	0	GREEN
contract_test.sh	0	35	0	0	GREEN
redbase_test.sh	0	26	0	5	GREEN
scope_test.sh	0	9	0	0	GREEN
pushgate_test.sh	0	11	0	1	GREEN
pushgate_forge_test.sh	0	9	0	0	GREEN
testverdict_test.sh	0	16	0	1	GREEN
drift_test.sh	0	6	0	0	GREEN
verify_test.sh	0	7	0	0	GREEN
loop_test.sh	0	11	0	0	GREEN
route_test.sh	0	48	0	1	GREEN
llm_proposer_test.sh	0	11	0	0	GREEN
truth_test.sh	0	12	0	0	GREEN
net_test.sh	0	13	0	2	GREEN
stats_test.sh	0	74	0	0	GREEN
trace_test.sh	0	85	0	1	GREEN
lens_test.sh	0	-	-	0	GREEN
usage_order_test.sh	0	8	0	1	GREEN
regression_demo.sh	0	4	0	0	GREEN
precision_test.sh	0	-	-	0	GREEN
site_claims_test.sh	1	-	-	0	RED
field_redaction_test.sh	0	10	0	0	GREEN
publish_redaction_test.sh	1	27	1	1	RED
publish_test.sh	0	46	0	18	GREEN
field_census_test.sh	0	1	0	1	GREEN
claims_test.sh	0	13	0	0	GREEN
fd_dup_test.sh	0	11	0	0	GREEN
sock_path_test.sh	0	3	0	20	GREEN
day_cache_test.sh	0	7	0	16	GREEN
mode_wrong_test.sh	0	9	0	0	GREEN
guard_subdir_test.sh	0	16	0	1	GREEN
rule_census_test.sh	0	17	0	0	GREEN
identity_test.sh	0	37	0	0	GREEN
### build exit: 0
